Name,Type,Level,Measurement,MeasurementIndex,Label,Unit,Description
M_QH_DryWeightGreenLeafRemain,Crop,Measurement,QuadratHarvest,1,Dry weight of green leaf for quadrat harvest ,g,Dry weight of green leaf for quadrat harvest 
M_QH_DryWeightGreenLeafSub,Crop,Measurement,QuadratHarvest,2,Dry weight of sub-sample of leaf area for quadrat harvest,g,Dry weight of sub-sample of leaf area for quadrat harvest
M_QH_DryWeightDeathLeaf,Crop,Measurement,QuadratHarvest,3,Dry weight of death leaf for quadrat harvest,g,Dry weight of death leaf for quadrat harvest
M_QH_DryWeightStem,Crop,Measurement,QuadratHarvest,4,Dry weight of stem for quadrat harvest,g,Dry weight of stem for quadrat harvest
M_QH_DryWeightHead,Crop,Measurement,QuadratHarvest,5,Dry weight of head for quadrat harvest,g,Dry weight of head for quadrat harvest
M_QH_DryWeightGrain,Crop,Measurement,QuadratHarvest,6,Dry weight of grain for quadrat harvest (excluding heads),h,Dry weight of grain for quadrat harvest (excluding heads)
M_QH_HarvestArea,Crop,Measurement,QuadratHarvest,,Total harvested area for quadrat harvest,cm2,Total harvested area for quadrat harvest
M_QH_FreshWeightTotal,Crop,Measurement,QuadratHarvest,,Fresh weight of all harvested samples for quadrat harvest,g,Fresh weight of all harvested samples for quadrat harvest
M_QH_FreshWeight,Crop,Measurement,QuadratHarvest,,Fresh weight of sub-sample for quadrat harvest,g,Fresh weight of sub-sample for quadrat harvest
M_QH_StemNumber,Crop,Measurement,QuadratHarvest,,Stem number of sub-sample for quadrat harvest,#,Stem number of sub-sample for quadrat harvest
M_QH_HeadNumber,Crop,Measurement,QuadratHarvest,,Head number of sub-sample for quadrat harvest,#,Head number of sub-sample for quadrat harvest
M_QH_FreshWeightGreenLeafSub,Crop,Measurement,QuadratHarvest,,Fresh weight of leaf sub-sample for quadrat harvest,g,Fresh weight of leaf sub-sample for quadrat harvest
M_QH_LeafAreaGreenLeafSub,Crop,Measurement,QuadratHarvest,,Leaf area of leaf sub-sample for quadrat harvest,cm2,Leaf area of leaf sub-sample for quadrat harvest
M_QH_FreshWeightGreenLeafRemain,Crop,Measurement,QuadratHarvest,,Fresh weight of remaining green leaf in sub-sample for quadrat harvest,g,Fresh weight of remaining green leaf in sub-sample for quadrat harvest
M_QH_FreshWeightStem,Crop,Measurement,QuadratHarvest,,Fresh weight of stem for quadrat harvest,g,Fresh weight of stem for quadrat harvest
M_QH_FreshWeightHead,Crop,Measurement,QuadratHarvest,,Fresh weight of head for quadrat harvest,g,Fresh weight of head for quadrat harvest
